(DeviceArray(0.82735145, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f63382b4e80>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.82564926, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f633019a9e8>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.82470363, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f655c335518>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8217893, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f64980c70b8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.82037085, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f63a0728be0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8202763, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f64f83728d0>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.820156, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f64f84e2208>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8171041, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f6378337f98>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.80426055, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f63583bd198>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.80077887, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f64207c7898>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.79707366, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f63783c0c18>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.79554343, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f62d85344a8>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.7932739, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f635850eda0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.7736991, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f6420224978>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
