(DeviceArray(0.5058774, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb5085eb860>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.5048402, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4ba6e46a0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.5035341, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb534103630>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.49884757, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb5582d0898>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.42520744, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4b9ac5d68>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.4108789, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4b92fe668>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3968577, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4b93c5a58>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.36493546, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4ba56ddd8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.36090195, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb57853e860>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.35490933, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4ba5b0128>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
