(DeviceArray(0.9516001, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4756f30630>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.95100003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47579dfa20>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.95080006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4756e10c18>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.95040005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4757c36908>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.95030004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475c3c2e48>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.94890004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47573eb6d8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.94890004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47563c3908>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.9466, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475680a828>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.9444001, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4757b699e8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.94310004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4757057cc0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
