(DeviceArray(0.93950003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4723595d68>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.93790007, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f472223a668>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.9333, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4755f026d8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.9286001, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f472201de10>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.9247, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4722c983c8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.91620004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47945364a8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.91440004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4722500b70>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.9128, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47200c14a8>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.91, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4721bd37b8>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.90500003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47223e0ac8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.90040004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4721dc34e0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8924, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4721af1e80>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.88510007, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4721a81278>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.87850004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4707fb5898>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.86270005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4722251668>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.82430005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f485c77d940>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
